position,player,team,age,total_value,avg_year,total_guaranteed,fully_guaranteed,free_agency,MAX,MIN,sum,sumif,sumifs,If,ifs,len,left,right,trim,concatenate,substitute,substitute,xlookup,vlookup
right-tackle,Cedric Ogbuehi,Jaguars,27,895000,895000,90000,90000,2020 UFA,,,,,,Young,#N/A,14,Cedric,guars,Cedric Ogbuehi,Texans - Martinas Rankin,Texans - Martinas Rankin,,,
right-tackle,Martinas Rankin,Texans,25,3546268,886567,901268,901268,2022 UFA,,,,,,Young,#N/A,15,Martin,exans,Martinas Rankin,Ravens - Orlando Brown,Ravens - Orlando Brown,,,
right-tackle,Orlando Brown,Ravens,23,3491720,872930,865720,865720,2022 UFA,,,,,,Young,#N/A,13,Orland,avens,Orlando Brown,Rams - Aaron Donald,Rams - Aaron Donald,,,
3-4-defensive-end,Aaron Donald,Rams,28,135000000,22500000,86892000,50000000,2025 UFA,,,,,,Young,#N/A,12,Aaron ,Rams,Aaron Donald,Texans - J.J. Watt,Texans - J.J. Watt,,,
3-4-defensive-end,J.J. Watt,Texans,30,100000000,16666667,51876385,20876385,2022 UFA,,,,,,Young,Thirty,9,J.J. W,exans,J.J. Watt,Titans - Jurrell Casey,Titans - Jurrell Casey,,,
3-4-defensive-end,Jurrell Casey,Titans,30,60400000,15100000,40000000,22000000,2023 UFA,,,,,,Young,Thirty,13,Jurrel,itans,Jurrell Casey,Broncos - Von Miller,Broncos - Von Miller,,,
linebacker,Von Miller,Broncos,30,114500000,19083333,70000000,42000000,2022 UFA,,,,,,Young,Thirty,10,Von Mi,oncos,Von Miller,Jets - C.J. Mosley,Jets - C.J. Mosley,,,
linebacker,C.J. Mosley,Jets,27,85000000,17000000,51000000,43000000,2024 UFA,,,,,,Young,#N/A,11,C.J. M,Jets,C.J. Mosley,Texans - Jadeveon Clowney,Texans - Jadeveon Clowney,,,
linebacker,Jadeveon Clowney,Texans,26,15967200,15967200,15967200,0,2020 UFA,,,,,,Young,#N/A,16,Jadeve,exans,Jadeveon Clowney,Vikings - Anthony Barr,Vikings - Anthony Barr,,,
linebacker,Anthony Barr,Vikings,27,67500000,13500000,33000000,15900000,2024 UFA,,,,,,Young,#N/A,12,Anthon,kings,Anthony Barr,Eagles - Fletcher Cox,Eagles - Fletcher Cox,,,
4-3-defensive-tackle,Fletcher Cox,Eagles,29,102600000,17100000,63299000,36299000,2023 Void,,,,,,Young,#N/A,12,Fletch,agles,Fletcher Cox,Browns - Olivier Vernon,Browns - Olivier Vernon,,,
defensive-line,Olivier Vernon,Browns,29,85000000,17000000,52500000,40000000,2021 UFA,,,,,,Young,#N/A,14,Olivie,rowns,Olivier Vernon,Texans - J.J. Watt,Texans - J.J. Watt,,,
defensive-line,J.J. Watt,Texans,30,100000000,16666667,51876385,20876385,2022 UFA,,,,,,Young,Thirty,9,J.J. W,exans,J.J. Watt,Panthers - Kawann Short,Panthers - Kawann Short,,,
defensive-line,Kawann Short,Panthers,30,80500000,16100000,45000000,35000000,2022 UFA,,,,,,Young,Thirty,12,Kawann,thers,Kawann Short,Chargers - Melvin Ingram,Chargers - Melvin Ingram,,,
defensive-line,Melvin Ingram,Chargers,30,64000000,16000000,42000000,34000000,2021 UFA,,,,,,Young,Thirty,13,Melvin,rgers,Melvin Ingram,Lions - Romeo Okwara,Lions - Romeo Okwara,,,
3-4-outside-linebacker,Romeo Okwara,Lions,24,6800000,3400000,3575000,3425000,2021 Void,,,,,,Young,#N/A,12,Romeo ,Lions,Romeo Okwara,Redskins - Montez Sweat,Redskins - Montez Sweat,,,
3-4-outside-linebacker,Montez Sweat,Redskins,0,11641260,2910315,11058816,11058816,2023 UFA,,,,,,Young,#N/A,12,Montez,skins,Montez Sweat,Steelers - T.J. Watt,Steelers - T.J. Watt,,,
