Rk,Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
83,Patson Daka,zm ZAM,FW,Leicester City,23,6,2,239,2.7,1,1,1,0,0,2,0,0.38,0.38,0.75,0.38,0.75,0.8,0.8,1.1,1.9,0.31,0.41,0.72,0.31,0.72,Matches,ca45605e
84,Diogo Dalot,pt POR,DF,Manchester Utd,23,6,6,535,5.9,0,1,0,0,0,3,0,0,0.17,0.17,0,0.17,0.5,0.5,0.6,1.1,0.09,0.1,0.19,0.09,0.19,Matches,d9565625
85,Mikkel Damsgaard,dk DEN,MFFW,Brentford,22,4,0,72,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.4,0.7,0.32,0.5,0.82,0.32,0.82,Matches,215f3907
86,Josh Dasilva,eng ENG,MF,Brentford,23,7,4,372,4.1,2,0,2,0,0,1,0,0.48,0,0.48,0.48,0.48,0.2,0.2,0.1,0.2,0.04,0.02,0.06,0.04,0.06,Matches,60344e4f
87,Ben Davies,wls WAL,DF,Tottenham,29,5,5,445,4.9,0,1,0,0,0,1,0,0,0.2,0.2,0,0.2,0.1,0.1,0.1,0.3,0.03,0.03,0.05,0.03,0.05,Matches,44781702
88,Tom Davies,eng ENG,MF,Everton,24,5,3,276,3.1,0,0,0,0,0,2,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0.12,0.05,0.17,0.12,0.17,Matches,9228b07c
89,Kevin De Bruyne,be BEL,MF,Manchester City,31,7,6,538,6,1,6,1,0,0,0,0,0.17,1,1.17,0.17,1.17,1.4,1.4,3.2,4.6,0.23,0.53,0.76,0.23,0.76,Matches,e46012d4
90,Leander Dendoncker,be BEL,MF,Wolves,27,4,2,214,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.4,0.15,0.02,0.16,0.15,0.16,Matches,5a7301ae
91,Leander Dendoncker,be BEL,MF,Aston Villa,27,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5a7301ae
92,Emmanuel Dennis,ng NGA,FW,Nott'ham Forest,24,4,0,64,0.7,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.33,0,0.33,0.33,0.33,Matches,2c44a35d
93,Halil Dervişoğlu,tr TUR,MF,Brentford,22,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0.21,0.21,0.21,Matches,9d8cf204
94,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,24,7,6,524,5.8,1,0,1,0,0,1,0,0.17,0,0.17,0.17,0.17,0.2,0.2,0.5,0.7,0.04,0.09,0.12,0.04,0.12,Matches,5c74c0f5
95,Ibrahima Diallo,fr FRA,MF,Southampton,23,4,3,206,2.3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0.02,0.04,0.03,0.04,Matches,11ff3d56
96,Rúben Dias,pt POR,DF,Manchester City,25,7,6,583,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.05,0.02,0.06,0.05,0.06,Matches,31c69ef1
97,Luis Díaz,co COL,FW,Liverpool,25,6,6,527,5.9,3,0,3,0,0,1,0,0.51,0,0.51,0.51,0.51,2.1,2.1,0.3,2.4,0.36,0.06,0.42,0.36,0.42,Matches,4a1a9578
98,Eric Dier,eng ENG,DF,Tottenham,28,7,7,630,7,2,0,2,0,0,0,0,0.29,0,0.29,0.29,0.29,0.4,0.4,0.1,0.5,0.06,0.01,0.07,0.06,0.07,Matches,ac861941
99,Lucas Digne,fr FRA,DF,Aston Villa,29,7,7,630,7,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.5,0.7,0.03,0.07,0.09,0.03,0.09,Matches,1b84dbe1
100,Issa Diop,fr FRA,DF,Fulham,25,2,1,102,1.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a712ca2b
101,Moussa Djenepo,ml MLI,DFFW,Southampton,24,7,5,481,5.3,0,1,0,0,0,0,0,0,0.19,0.19,0,0.19,0.1,0.1,0.2,0.3,0.01,0.04,0.05,0.01,0.05,Matches,254147d4
102,Matt Doherty,ie IRL,DF,Tottenham,30,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d557d734
103,Gabriel Dos Santos,br BRA,DF,Arsenal,24,7,7,630,7,1,0,1,0,0,0,0,0.14,0,0.14,0.14,0.14,1.3,1.3,0,1.3,0.19,0,0.19,0.19,0.19,Matches,67ac5bb8
104,Abdoulaye Doucouré,ml MLI,MF,Everton,29,3,2,134,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.1,0,0.1,0.1,0.1,Matches,02b29014
105,Cheick Doucouré,ml MLI,MF,Crystal Palace,22,6,6,512,5.7,0,1,0,0,0,1,0,0,0.18,0.18,0,0.18,0.2,0.2,0.8,1,0.03,0.15,0.18,0.03,0.18,Matches,ce4f40c7
